loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
1,11 Com,b,11 Com b,93.37,4742.00,2.70,19.00,2014-05-14,2007,Xinglong Station,3
2,11 UMi,b,11 UMi b,125.72,4213.00,2.78,29.79,2018-09-06,2009,Thueringer Landessternwarte Tautenburg,3
3,14 And,b,14 And b,75.59,4813.00,2.20,11.00,2014-05-14,2008,Okayama Astrophysical Observatory,3
4,14 Her,b,14 Her b,17.94,5338.00,0.90,0.93,2018-09-06,2002,W. M. Keck Observatory,3
5,16 Cyg B,b,16 Cyg B b,21.15,5750.00,1.08,1.13,2018-09-06,1996,Multiple Observatories,3
6,18 Del,b,18 Del b,76.38,4979.00,2.30,8.50,2014-05-14,2008,Okayama Astrophysical Observatory,3
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,139.67,4060.00,0.85,,2015-04-01,2008,Gemini Observatory,3
8,24 Boo,b,24 Boo b,96.25,4893.00,0.99,10.64,2018-04-26,2018,Okayama Astrophysical Observatory,3
9,24 Sex,b,24 Sex b,72.21,5098.00,1.54,4.90,2014-05-14,2010,Lick Observatory,3
10,24 Sex,c,24 Sex c,72.21,5098.00,1.54,4.90,2014-05-14,2010,Lick Observatory,3
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,33.86,3530.00,0.40,,2014-05-14,2013,W. M. Keck Observatory,3
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,40.09,3064.00,0.11,0.28,2015-05-14,2015,Cerro Tololo Inter-American Observatory,3
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,120.42,,0.02,,2014-05-14,2010,Hubble Space Telescope,3
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,64.42,,0.02,,2014-05-14,2004,Paranal Observatory,3
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,400.77,,0.48,,2015-06-04,2015,Kepler,3
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,33.12,2300.00,0.08,0.12,2014-05-14,2009,W. M. Keck Observatory,3
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,69.71,4045.00,0.60,,2016-11-10,2016,W. M. Keck Observatory,3
18,30 Ari B,b,30 Ari B b,44.71,6331.00,1.93,1.41,2018-09-06,2009,Thueringer Landessternwarte Tautenburg,3
19,4 UMa,b,4 UMa b,73.58,4415.00,1.23,18.11,2014-05-14,2006,Thueringer Landessternwarte Tautenburg,3
20,42 Dra,b,42 Dra b,90.86,4200.00,0.98,22.03,2014-05-14,2008,Thueringer Landessternwarte Tautenburg,3
21,47 UMa,b,47 UMa b,13.80,5892.00,1.03,1.23,2014-05-14,1996,Lick Observatory,3
22,47 UMa,c,47 UMa c,13.80,5892.00,1.03,1.23,2014-05-14,2001,Lick Observatory,3
23,47 UMa,d,47 UMa d,13.80,5892.00,1.03,1.23,2014-05-14,2009,Lick Observatory,3
24,51 Eri,b,51 Eri b,29.78,,1.75,,2019-07-11,2015,Gemini Observatory,3
25,51 Peg,b,51 Peg b,15.47,5793.00,1.12,1.20,2014-05-14,1995,Haute-Provence Observatory,3
26,55 Cnc,b,55 Cnc b,12.59,5196.00,0.91,0.94,2014-10-29,1996,Lick Observatory,3
27,55 Cnc,c,55 Cnc c,12.59,5196.00,0.91,0.94,2014-10-29,2004,McDonald Observatory,3
28,55 Cnc,d,55 Cnc d,12.59,5196.00,0.91,0.94,2014-10-29,2002,Lick Observatory,3
29,55 Cnc,e,55 Cnc e,12.59,5196.00,0.91,0.94,2019-01-31,2004,McDonald Observatory,3
30,55 Cnc,f,55 Cnc f,12.59,5196.00,0.91,0.94,2014-10-29,2007,Multiple Observatories,3
31,6 Lyn,b,6 Lyn b,54.74,4938.00,1.44,5.20,2018-12-06,2008,Okayama Astrophysical Observatory,3
32,61 Vir,b,61 Vir b,8.51,5577.00,0.94,0.96,2014-05-14,2009,Multiple Observatories,3
33,61 Vir,c,61 Vir c,8.51,5577.00,0.94,0.96,2014-05-14,2009,Multiple Observatories,3
34,61 Vir,d,61 Vir d,8.51,5577.00,0.94,0.96,2014-05-14,2009,Multiple Observatories,3
35,7 CMa,b,7 CMa b,19.82,4826.00,1.34,4.87,2019-10-24,2011,Anglo-Australian Telescope,3
36,7 CMa,c,7 CMa c,19.82,4826.00,1.34,4.87,2019-10-24,2019,Multiple Observatories,3
37,70 Vir,b,70 Vir b,17.91,5495.00,1.09,1.89,2018-12-06,1996,Lick Observatory,3
38,75 Cet,b,75 Cet b,83.15,4846.00,2.49,10.50,2015-09-03,2012,Okayama Astrophysical Observatory,3
39,8 UMi,b,8 UMi b,163.32,4847.00,1.44,10.30,2018-09-06,2015,Bohyunsan Optical Astronomical Observatory,3
40,81 Cet,b,81 Cet b,101.53,4785.00,2.40,11.00,2014-05-14,2008,Okayama Astrophysical Observatory,3
41,91 Aqr,b,91 Aqr b,44.08,4665.00,1.40,11.00,2014-05-14,2013,Lick Observatory,3
42,AB Pic,b,AB Pic b,50.12,,,,2014-05-14,2005,Paranal Observatory,3
43,AU Mic,b,AU Mic b,9.72,3700.00,0.50,0.75,2020-06-24,2020,Transiting Exoplanet Survey Satellite (TESS),3
44,BD+03 2562,b,BD+03 2562 b,1106.93,4095.00,1.14,32.35,2017-06-15,2017,Multiple Observatories,3
45,BD+14 4559,b,BD+14 4559 b,49.42,4864.00,0.49,0.86,2018-09-06,2009,McDonald Observatory,3
46,BD+15 2375,b,BD+15 2375 b,785.38,4649.00,1.08,8.95,2016-02-04,2016,Roque de los Muchachos Observatory,3
47,BD+15 2940,b,BD+15 2940 b,431.61,4796.00,1.10,14.70,2014-05-14,2013,McDonald Observatory,3
48,BD+20 2457,b,BD+20 2457 b,1670.85,4259.00,10.83,71.02,2018-09-06,2009,McDonald Observatory,3
49,BD+20 2457,c,BD+20 2457 c,1670.85,4259.00,10.83,71.02,2014-05-14,2009,McDonald Observatory,3
50,BD+20 274,b,BD+20 274 b,1383.85,4296.00,0.80,17.30,2015-09-18,2012,McDonald Observatory,3
51,BD+20 594,b,BD+20 594 b,180.39,5766.00,1.67,1.08,2018-04-26,2016,K2,3
52,BD+48 738,b,BD+48 738 b,892.17,4414.00,0.74,11.00,2015-08-13,2011,McDonald Observatory,3
53,BD+48 740,b,BD+48 740 b,678.94,4534.00,1.09,10.33,2018-02-01,2018,Multiple Observatories,3
54,BD+49 828,b,BD+49 828 b,447.59,4943.00,1.52,7.60,2015-02-05,2015,McDonald Observatory,3
55,BD-06 1339,b,BD-06 1339 b,20.28,4324.00,0.70,,2014-05-14,2013,La Silla Observatory,3
56,BD-06 1339,c,BD-06 1339 c,20.28,4324.00,0.70,,2014-05-14,2013,La Silla Observatory,3
57,BD-08 2823,b,BD-08 2823 b,41.38,4816.00,0.50,0.71,2018-09-06,2009,La Silla Observatory,3
58,BD-08 2823,c,BD-08 2823 c,41.38,4816.00,0.50,0.71,2014-05-14,2009,La Silla Observatory,3
59,BD-10 3166,b,BD-10 3166 b,84.61,5393.00,1.47,0.91,2018-09-06,2000,W. M. Keck Observatory,3
60,BD-11 4672,b,BD-11 4672 b,27.19,4475.00,0.57,0.52,2015-01-08,2014,La Silla Observatory,3
61,BD-13 2130,b,BD-13 2130 b,948.75,4545.00,2.12,19.17,2018-09-06,2007,La Silla Observatory,3
62,BD-17 63,b,BD-17 63 b,34.49,4714.00,0.74,0.69,2014-05-14,2008,La Silla Observatory,3
63,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,,580.50,0.02,,2014-05-14,2011,W. M. Keck Observatory,3
64,CHXR 73,b,CHXR 73 b,191.05,,0.35,,2014-05-14,2006,Hubble Space Telescope,3
65,CI Tau,b,CI Tau b,158.71,,0.90,,2019-06-27,2019,Multiple Observatories,3
66,CT Cha,b,CT Cha b,191.78,,,,2014-05-14,2007,Paranal Observatory,3
67,CoRoT-1,b,CoRoT-1 b,805.31,5950.00,0.95,1.11,2014-05-14,2008,CoRoT,3
68,CoRoT-10,b,CoRoT-10 b,341.65,5075.00,0.89,0.79,2014-05-14,2010,CoRoT,3
69,CoRoT-11,b,CoRoT-11 b,666.35,6440.00,1.27,1.37,2014-05-14,2010,CoRoT,3
70,CoRoT-12,b,CoRoT-12 b,1161.12,5675.00,1.08,1.12,2014-05-14,2010,CoRoT,3
71,CoRoT-13,b,CoRoT-13 b,1184.91,5945.00,1.09,1.01,2014-05-14,2010,CoRoT,3
72,CoRoT-14,b,CoRoT-14 b,1826.96,6035.00,1.13,1.21,2014-05-14,2010,CoRoT,3
73,CoRoT-16,b,CoRoT-16 b,745.96,5650.00,1.10,1.19,2014-05-14,2011,CoRoT,3
74,CoRoT-17,b,CoRoT-17 b,1214.51,5740.00,1.04,1.59,2014-05-14,2011,CoRoT,3
75,CoRoT-18,b,CoRoT-18 b,780.87,5440.00,0.95,1.00,2014-05-14,2011,CoRoT,3
76,CoRoT-19,b,CoRoT-19 b,807.99,6090.00,1.21,1.65,2014-05-14,2011,CoRoT,3
77,CoRoT-2,b,CoRoT-2 b,214.56,5625.00,0.96,0.91,2014-05-14,2008,CoRoT,3
78,CoRoT-20,b,CoRoT-20 b,864.31,,1.14,,2018-07-19,2011,CoRoT,3
79,CoRoT-20,c,CoRoT-20 c,864.31,,1.14,,2018-07-19,2018,Multiple Observatories,3
80,CoRoT-21,b,CoRoT-21 b,1398.83,6200.00,1.29,1.95,2018-12-06,2012,CoRoT,3
81,CoRoT-22,b,CoRoT-22 b,638.47,5939.00,1.10,1.14,2014-08-21,2014,CoRoT,3
82,CoRoT-23,b,CoRoT-23 b,1092.40,5900.00,1.14,1.61,2014-05-14,2011,CoRoT,3
83,CoRoT-24,b,CoRoT-24 b,601.22,4950.00,0.91,0.86,2018-05-31,2014,CoRoT,3
84,CoRoT-24,c,CoRoT-24 c,601.22,4950.00,0.91,0.86,2014-06-11,2014,CoRoT,3
85,CoRoT-25,b,CoRoT-25 b,1137.85,6040.00,1.09,1.19,2014-05-14,2013,CoRoT,3
86,CoRoT-26,b,CoRoT-26 b,,5590.00,1.09,1.79,2014-05-14,2013,CoRoT,3
87,CoRoT-27,b,CoRoT-27 b,1035.15,5900.00,1.05,1.08,2014-05-14,2014,CoRoT,3
88,CoRoT-28,b,CoRoT-28 b,783.18,5150.00,1.01,1.78,2015-04-16,2015,CoRoT,3
89,CoRoT-29,b,CoRoT-29 b,822.62,5260.00,0.97,0.90,2015-04-16,2015,CoRoT,3
90,CoRoT-3,b,CoRoT-3 b,784.49,6740.00,1.37,1.56,2014-05-14,2008,CoRoT,3
91,CoRoT-30,b,CoRoT-30 b,1061.07,5650.00,0.98,0.91,2020-04-16,2020,CoRoT,3
92,CoRoT-31,b,CoRoT-31 b,2127.54,5700.00,1.25,2.15,2020-04-16,2020,CoRoT,3
93,CoRoT-4,b,CoRoT-4 b,741.60,6190.00,1.16,1.17,2014-05-14,2008,CoRoT,3
94,CoRoT-5,b,CoRoT-5 b,904.65,6100.00,1.00,1.19,2014-05-14,2009,CoRoT,3
95,CoRoT-6,b,CoRoT-6 b,657.24,6090.00,1.05,1.02,2014-05-14,2009,CoRoT,3
96,CoRoT-7,b,CoRoT-7 b,160.64,5275.00,0.82,0.83,2018-12-06,2009,CoRoT,3
97,CoRoT-7,c,CoRoT-7 c,160.64,5275.00,0.82,0.83,2015-09-10,2009,CoRoT,3
98,CoRoT-8,b,CoRoT-8 b,325.03,5080.00,0.88,0.77,2014-05-14,2010,CoRoT,3
99,CoRoT-9,b,CoRoT-9 b,417.89,5625.00,0.96,0.96,2017-12-14,2009,CoRoT,3
100,CoRoTID 223977153,b,CoRoTID 223977153 b,586.20,5970.00,1.08,0.79,2017-09-15,2017,CoRoT,3
101,DE CVn,b,DE CVn b,30.55,,0.51,,2019-07-11,2018,Multiple Facilities,3
102,DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,20.67,,0.07,,2014-05-14,2013,Paranal Observatory,3
103,DH Tau,b,DH Tau b,135.35,,0.33,0.27,2014-05-14,2004,Subaru Telescope,3
104,DMPP-1,b,DMPP-1 b,62.65,6196.00,1.21,1.26,2020-01-30,2019,La Silla Observatory,3
105,DMPP-1,c,DMPP-1 c,62.65,6196.00,1.21,1.26,2020-01-30,2019,La Silla Observatory,3
106,DMPP-1,d,DMPP-1 d,62.65,6196.00,1.21,1.26,2020-01-30,2019,La Silla Observatory,3
107,DMPP-1,e,DMPP-1 e,62.65,6196.00,1.21,1.26,2020-01-30,2019,La Silla Observatory,3
108,DMPP-2,b,DMPP-2 b,138.49,6500.00,1.44,1.78,2020-01-30,2019,Multiple Facilities,3
109,DMPP-3 A,b,DMPP-3 A b,46.95,5138.00,0.87,0.91,2020-01-30,2019,La Silla Observatory,3
110,DP Leo,b,DP Leo b,305.06,13500.00,,0.01,2014-05-14,2009,Yunnan Astronomical Observatory,3
111,DS Tuc A,b,DS Tuc A b,44.12,5428.00,1.01,0.96,2019-07-11,2019,Transiting Exoplanet Survey Satellite (TESS),3
112,EPIC 201238110,b,EPIC 201238110 b,159.98,,0.41,,2019-06-13,2019,K2,3
113,EPIC 201497682,b,EPIC 201497682 b,254.88,,0.78,,2019-06-13,2019,K2,3
114,K2-166,c,EPIC 201615463 c,483.38,,1.07,,2019-06-13,2019,K2,3
115,K2-16,d,EPIC 201754305 d,338.19,,0.67,,2019-06-13,2019,K2,3
116,K2-50,c,EPIC 201833600 c,259.33,,0.61,,2019-06-13,2019,K2,3
117,EPIC 201841433,b,EPIC 201841433 b,441.94,,0.80,,2019-06-13,2019,K2,3
118,K2-168,c,EPIC 205950854 c,245.56,5502.70,0.88,0.83,2019-08-15,2019,K2,3
119,EPIC 206024342,b,EPIC 206024342 b,373.81,,0.93,,2019-06-13,2019,K2,3
120,EPIC 206032309,b,EPIC 206032309 b,162.09,,0.22,,2019-06-13,2019,K2,3
121,EPIC 206042996,b,EPIC 206042996 b,457.27,,0.56,,2019-06-13,2019,K2,3
122,EPIC 206215704,b,EPIC 206215704 b,110.22,,0.41,,2019-06-13,2019,K2,3
123,EPIC 206317286,b,EPIC 206317286 b,317.20,,0.71,,2019-06-13,2019,K2,3
124,EPIC 211822797,b,EPIC 211822797 b,187.19,4148.21,0.66,0.57,2017-10-26,2016,K2,3
125,EPIC 211945201,b,EPIC 211945201 b,182.64,6069.00,1.17,1.39,2018-10-26,2018,K2,3
126,EPIC 212297394,b,EPIC 212297394 b,423.35,,0.83,,2019-06-13,2019,K2,3
127,EPIC 212424622,b,EPIC 212424622 b,622.67,,1.11,,2019-06-13,2019,K2,3
128,EPIC 212499991,b,EPIC 212499991 b,285.61,,0.91,,2019-06-13,2019,K2,3
129,EPIC 212587672,b,EPIC 212587672 b,322.88,,0.95,,2019-06-13,2019,K2,3
130,EPIC 212737443,b,EPIC 212737443 b,339.46,4684.00,0.69,0.67,2019-07-25,2019,K2,3
131,EPIC 212737443,c,EPIC 212737443 c,339.46,4684.00,0.69,0.67,2019-07-25,2019,K2,3
132,K2-282,c,EPIC 220554210 c,503.46,,0.94,,2019-06-13,2019,K2,3
133,EPIC 220674823,b,EPIC 220674823 b,246.29,5617.00,0.97,0.98,2018-10-26,2016,K2,3
134,EPIC 220674823,c,EPIC 220674823 c,246.29,5617.00,0.97,0.98,2018-10-26,2016,K2,3
135,EPIC 246851721,b,EPIC 246851721 b,375.39,6202.00,1.32,1.59,2018-10-26,2018,K2,3
136,EPIC 248847494,b,EPIC 248847494 b,560.71,4898.00,0.90,2.70,2019-07-25,2018,K2,3
137,EPIC 249893012,b,EPIC 249893012 b,324.22,5430.00,1.05,1.71,2020-02-13,2020,K2,3
138,EPIC 249893012,c,EPIC 249893012 c,324.22,5430.00,1.05,1.71,2020-02-13,2020,K2,3
139,EPIC 249893012,d,EPIC 249893012 d,324.22,5430.00,1.05,1.71,2020-02-13,2020,K2,3
140,FU Tau,b,FU Tau b,133.50,2838.00,0.05,,2016-03-10,2008,Spitzer Space Telescope,3
141,G 9-40,b,G 9-40 b,27.95,3348.00,0.29,0.31,2020-01-16,2019,K2,3
142,GJ 1061,b,GJ 1061 b,3.67,2953.00,0.12,0.16,2020-02-27,2020,La Silla Observatory,3
143,GJ 1061,c,GJ 1061 c,3.67,2953.00,0.12,0.16,2020-02-27,2020,La Silla Observatory,3
144,GJ 1061,d,GJ 1061 d,3.67,2953.00,0.12,0.16,2020-02-27,2020,La Silla Observatory,3
145,GJ 1132,b,GJ 1132 b,12.62,3270.00,0.18,0.21,2020-06-04,2015,Cerro Tololo Inter-American Observatory,3
146,GJ 1132,c,GJ 1132 c,12.62,3270.00,0.18,0.21,2018-06-21,2018,La Silla Observatory,3
147,GJ 1148,b,GJ 1148 b,11.02,3264.00,0.35,0.40,2017-10-19,2010,W. M. Keck Observatory,3
148,GJ 1148,c,GJ 1148 c,11.02,3264.00,0.35,0.40,2017-10-19,2017,Calar Alto Observatory,3
149,GJ 1214,b,GJ 1214 b,14.65,3026.00,0.15,0.22,2015-12-03,2009,MEarth Project,3
150,GJ 1252,b,GJ 1252 b,20.38,3458.00,0.38,0.39,2020-02-13,2020,Transiting Exoplanet Survey Satellite (TESS),3
151,GJ 1265,b,GJ 1265 b,10.26,3236.00,0.18,0.19,2018-12-06,2018,Calar Alto Observatory,3
152,GJ 143,b,GJ 143 b,16.33,4640.00,0.73,0.69,2019-04-25,2019,Transiting Exoplanet Survey Satellite (TESS),3
153,GJ 15 A,b,GJ 15 A b,3.56,3607.00,0.38,0.38,2019-10-10,2014,W. M. Keck Observatory,3
154,GJ 15 A,c,GJ 15 A c,3.56,3607.00,0.38,0.38,2019-10-10,2018,Roque de los Muchachos Observatory,3
155,GJ 160.2,b,GJ 160.2 b,25.88,4347.00,0.69,,2019-10-10,2014,Multiple Observatories,3
156,GJ 163,b,GJ 163 b,15.14,3500.00,0.40,,2017-01-26,2013,La Silla Observatory,3
157,GJ 163,c,GJ 163 c,15.14,3500.00,0.40,,2017-01-26,2013,La Silla Observatory,3
158,GJ 163,d,GJ 163 d,15.14,3500.00,0.40,,2017-01-26,2013,La Silla Observatory,3
159,GJ 179,b,GJ 179 b,12.36,3370.00,0.36,0.38,2014-05-14,2009,W. M. Keck Observatory,3
160,GJ 180,b,GJ 180 b,11.94,,0.43,,2020-02-13,2014,Multiple Observatories,3
161,GJ 180,c,GJ 180 c,11.94,,0.43,,2019-10-10,2014,Multiple Observatories,3
162,GJ 180,d,GJ 180 d,11.94,,0.43,,2020-02-13,2020,Multiple Facilities,3
163,GJ 229,c,GJ 229 A c,5.76,,0.58,,2020-02-13,2020,Multiple Facilities,3
164,GJ 229,b,GJ 229 b,5.76,,0.58,,2020-02-13,2014,Multiple Observatories,3
165,GJ 27.1,b,GJ 27.1 b,23.62,3542.00,0.53,,2019-10-10,2014,Multiple Observatories,3
166,GJ 273,b,GJ 273 b,,3382.00,0.29,0.29,2017-03-30,2017,La Silla Observatory,3
167,GJ 273,c,GJ 273 c,,3382.00,0.29,0.29,2017-03-30,2017,La Silla Observatory,3
168,GJ 3021,b,GJ 3021 b,17.56,5540.00,0.90,0.90,2014-05-14,2000,La Silla Observatory,3
169,GJ 3082,b,GJ 3082 b,16.63,,0.47,,2020-02-13,2020,Multiple Facilities,3
170,GJ 3138,b,GJ 3138 b,28.49,3717.00,0.68,0.50,2017-03-30,2017,La Silla Observatory,3
171,GJ 3138,c,GJ 3138 c,28.49,3717.00,0.68,0.50,2017-03-30,2017,La Silla Observatory,3
172,GJ 3138,d,GJ 3138 d,28.49,3717.00,0.68,0.50,2017-03-30,2017,La Silla Observatory,3
173,GJ 317,b,GJ 317 b,15.20,3510.00,0.42,,2014-08-27,2007,W. M. Keck Observatory,3
174,GJ 317,c,GJ 317 c,15.20,3510.00,0.42,,2018-11-29,2018,W. M. Keck Observatory,3
175,GJ 328,b,GJ 328 b,20.54,3900.00,0.69,,2014-05-14,2013,McDonald Observatory,3
176,GJ 3293,b,GJ 3293 b,20.20,3466.00,0.42,0.40,2017-03-30,2015,La Silla Observatory,3
177,GJ 3293,c,GJ 3293 c,20.20,3466.00,0.42,0.40,2017-03-30,2015,La Silla Observatory,3
178,GJ 3293,d,GJ 3293 d,20.20,3466.00,0.42,0.40,2017-03-30,2017,La Silla Observatory,3
179,GJ 3293,e,GJ 3293 e,20.20,3466.00,0.42,0.40,2017-03-30,2017,La Silla Observatory,3
180,GJ 3323,b,GJ 3323 b,5.38,3159.00,0.16,0.12,2017-03-30,2017,La Silla Observatory,3
181,GJ 3323,c,GJ 3323 c,5.38,3159.00,0.16,0.12,2017-03-30,2017,La Silla Observatory,3
182,GJ 3341,b,GJ 3341 b,23.64,3526.00,0.47,0.44,2014-12-03,2015,La Silla Observatory,3
183,GJ 3470,b,GJ 3470 b,29.45,3600.00,0.54,0.55,2016-09-29,2012,La Silla Observatory,3
184,GJ 3512,b,GJ 3512 b,9.49,3081.00,0.12,0.14,2019-10-10,2019,Calar Alto Observatory,3
185,GJ 357,b,GJ 357 b,9.44,3505.00,0.34,0.34,2019-08-15,2019,Transiting Exoplanet Survey Satellite (TESS),3
186,GJ 357,c,GJ 357 c,9.44,3505.00,0.34,0.34,2019-08-01,2019,Multiple Observatories,3
187,GJ 357,d,GJ 357 d,9.44,3505.00,0.34,0.34,2019-08-01,2019,Multiple Observatories,3
188,GJ 3634,b,GJ 3634 b,20.39,,0.45,0.43,2014-08-21,2010,La Silla Observatory,3
189,GJ 3779,b,GJ 3779 b,13.75,3324.00,0.27,0.28,2018-12-06,2018,Calar Alto Observatory,3
190,GJ 3942,b,GJ 3942 b,16.94,3867.00,0.63,0.61,2017-12-21,2017,Roque de los Muchachos Observatory,3
191,GJ 3998,b,GJ 3998 b,18.16,3722.00,0.50,0.49,2016-07-28,2016,Roque de los Muchachos Observatory,3
192,GJ 3998,c,GJ 3998 c,18.16,3722.00,0.50,0.49,2016-07-28,2016,Roque de los Muchachos Observatory,3
193,GJ 411,b,GJ 411 b,,3563.00,0.39,0.39,2019-03-05,2019,Haute-Provence Observatory,3
194,GJ 422,b,GJ 422 b,12.67,,0.35,,2020-02-13,2014,Multiple Observatories,3
195,GJ 4276,b,GJ 4276 b,21.35,3387.00,0.41,0.41,2019-01-24,2019,Calar Alto Observatory,3
196,GJ 433,b,GJ 433 b,9.07,,0.48,,2020-02-13,2011,La Silla Observatory,3
197,GJ 433,c,GJ 433 c,9.07,,0.48,,2020-02-13,2014,Multiple Observatories,3
198,GJ 433,d,GJ 433 d,9.07,,0.48,,2020-02-13,2020,Multiple Facilities,3
199,GJ 436,b,GJ 436 b,9.76,,0.47,0.46,2015-02-05,2004,W. M. Keck Observatory,3
200,GJ 504,b,GJ 504 b,17.54,6234.00,1.22,,2014-05-14,2013,Subaru Telescope,3
201,GJ 536,b,GJ 536 b,10.41,3685.00,0.52,0.50,2016-11-17,2016,La Silla Observatory,3
202,GJ 581,b,GJ 581 b,6.30,,0.31,0.29,2014-07-09,2005,La Silla Observatory,3
203,GJ 581,c,GJ 581 c,6.30,,0.31,0.29,2014-07-09,2007,La Silla Observatory,3
204,GJ 581,e,GJ 581 e,6.30,,0.31,0.29,2014-07-09,2009,La Silla Observatory,3
205,GJ 625,b,GJ 625 b,6.47,3499.00,0.30,0.31,2017-09-28,2017,Multiple Observatories,3
206,GJ 649,b,GJ 649 b,10.38,3700.00,0.54,,2014-05-14,2009,W. M. Keck Observatory,3
207,GJ 667 C,b,GJ 667 C b,7.25,3350.00,0.33,,2014-05-14,2011,La Silla Observatory,3
208,GJ 667 C,c,GJ 667 C c,7.25,3350.00,0.33,,2014-05-14,2011,La Silla Observatory,3
209,GJ 667 C,e,GJ 667 C e,7.25,3350.00,0.33,,2014-05-14,2013,La Silla Observatory,3
210,GJ 667 C,f,GJ 667 C f,7.25,3350.00,0.33,,2014-05-14,2013,La Silla Observatory,3
211,GJ 667 C,g,GJ 667 C g,7.25,3350.00,0.33,,2014-05-14,2013,La Silla Observatory,3
212,GJ 674,b,GJ 674 b,4.55,3600.00,0.35,,2014-05-14,2007,La Silla Observatory,3
213,GJ 676 A,b,GJ 676 A b,16.03,3734.00,0.73,0.69,2018-09-06,2010,La Silla Observatory,3
214,GJ 676 A,c,GJ 676 A c,16.03,3734.00,0.73,0.69,2016-09-29,2016,Paranal Observatory,3
215,GJ 676 A,d,GJ 676 A d,16.03,3734.00,0.73,0.69,2016-09-29,2012,La Silla Observatory,3
216,GJ 676 A,e,GJ 676 A e,16.03,3734.00,0.73,0.69,2016-09-29,2012,La Silla Observatory,3
217,GJ 682,b,GJ 682 b,5.01,3028.00,0.27,,2019-10-10,2014,Multiple Observatories,3
218,GJ 682,c,GJ 682 c,5.01,3028.00,0.27,,2019-10-10,2014,Multiple Observatories,3
219,GJ 685,b,GJ 685 b,14.32,3816.00,0.55,0.54,2019-04-11,2019,Qatar,3
220,GJ 687,b,GJ 687 b,4.55,3340.00,0.45,0.43,2018-09-06,2014,Lick Observatory,3
221,GJ 832,b,GJ 832 b,4.97,3472.00,0.45,,2014-06-25,2008,Anglo-Australian Telescope,3
222,GJ 832,c,GJ 832 c,4.97,3472.00,0.45,,2014-06-25,2014,Multiple Observatories,3
223,GJ 849,b,GJ 849 b,8.80,3241.00,0.65,0.53,2018-09-06,2006,W. M. Keck Observatory,3
224,GJ 86,b,GJ 86 b,10.79,5182.00,0.93,0.77,2018-09-06,1999,La Silla Observatory,3
225,GJ 876,b,GJ 876 b,4.68,,0.32,0.30,2014-08-27,1998,Multiple Observatories,3
226,GJ 876,c,GJ 876 c,4.68,,0.32,0.30,2014-08-27,2000,Multiple Observatories,3
227,GJ 876,d,GJ 876 d,4.68,,0.32,0.30,2014-08-27,2005,W. M. Keck Observatory,3
228,GJ 876,e,GJ 876 e,4.68,,0.32,0.30,2014-08-27,2010,W. M. Keck Observatory,3
229,GJ 96,b,GJ 96 b,11.94,3785.00,0.60,,2018-11-08,2018,Haute-Provence Observatory,3
230,GJ 9827,b,GJ 9827 b,29.69,4340.00,0.61,0.60,2019-08-29,2017,K2,3
231,GJ 9827,c,GJ 9827 c,29.69,4340.00,0.61,0.60,2019-08-29,2017,K2,3
232,GJ 9827,d,GJ 9827 d,29.69,4340.00,0.61,0.60,2019-08-29,2017,K2,3
233,GQ Lup,b,GQ Lup b,151.82,,0.70,,2014-05-14,2004,Paranal Observatory,3
234,GSC 06214-00210,b,GSC 06214-00210 b,108.84,4200.00,0.90,,2015-04-01,2010,Palomar Observatory,3
235,GU Psc,b,GU Psc b,47.61,,0.33,,2014-05-14,2014,Gemini Observatory,3
236,Gl 378,b,Gl 378 b,14.96,3879.00,0.56,0.56,2019-03-05,2019,Haute-Provence Observatory,3
237,Gl 49,b,Gl 49 b,9.86,3805.00,0.52,0.51,2019-06-13,2019,Multiple Observatories,3
238,Gl 686,b,Gl 686 b,8.16,3663.00,0.42,0.42,2019-06-13,2018,Roque de los Muchachos Observatory,3
239,HAT-P-1,b,HAT-P-1 b,159.71,5980.00,1.15,1.17,2015-09-10,2006,HATNet,3
240,HAT-P-11,b,HAT-P-11 b,37.81,4780.00,0.81,0.68,2019-01-31,2008,HATNet,3
241,HAT-P-11,c,HAT-P-11 c,37.81,4780.00,0.81,0.68,2019-01-31,2018,W. M. Keck Observatory,3
242,HAT-P-12,b,HAT-P-12 b,143.34,4650.00,0.73,0.70,2014-05-14,2009,HATNet,3
243,HAT-P-13,b,HAT-P-13 b,248.56,5653.00,1.22,1.56,2014-10-15,2009,HATNet,3
244,HAT-P-13,c,HAT-P-13 c,248.56,5653.00,1.22,1.56,2019-01-31,2009,W. M. Keck Observatory,3
245,HAT-P-14,b,HAT-P-14 b,224.10,6600.00,2.65,1.82,2018-04-26,2010,HATNet,3
