loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
3503,Kepler-82,c,Kepler-82 c,927.97,,0.91,0.90,2019-07-25,2012,Kepler,3
3504,Kepler-82,d,Kepler-82 d,927.97,,0.91,0.90,2014-05-14,2014,Kepler,3
3505,Kepler-82,e,Kepler-82 e,927.97,,0.91,0.90,2014-05-14,2014,Kepler,3
3506,Kepler-82,f,Kepler-82 f,927.97,,0.91,0.90,2019-07-25,2019,KOINet,3
3507,Kepler-820,b,Kepler-820 b,1444.44,6260.00,1.23,1.36,2016-05-10,2016,Kepler,3
3508,Kepler-821,b,Kepler-821 b,625.58,5191.00,0.84,0.80,2016-05-10,2016,Kepler,3
3509,Kepler-822,b,Kepler-822 b,882.11,5928.00,1.06,1.08,2016-05-10,2016,Kepler,3
3510,Kepler-823,b,Kepler-823 b,1447.06,5643.00,0.98,0.96,2016-05-10,2016,Kepler,3
3511,Kepler-824,b,Kepler-824 b,1243.72,6035.00,1.15,1.22,2016-05-10,2016,Kepler,3
3512,Kepler-825,b,Kepler-825 b,826.92,5976.00,1.03,1.08,2016-05-10,2016,Kepler,3
3513,Kepler-825,c,Kepler-825 c,826.92,5976.00,1.03,1.08,2016-05-10,2016,Kepler,3
3514,Kepler-826,b,Kepler-826 b,797.51,6079.00,1.05,1.15,2016-05-10,2016,Kepler,3
3515,Kepler-827,b,Kepler-827 b,2166.93,5602.00,0.93,0.91,2016-05-10,2016,Kepler,3
3516,Kepler-828,b,Kepler-828 b,584.98,5039.00,0.81,0.77,2016-05-10,2016,Kepler,3
3517,Kepler-829,b,Kepler-829 b,1107.76,5698.00,0.98,0.97,2016-05-10,2016,Kepler,3
3518,Kepler-83,b,Kepler-83 b,405.01,4648.00,,0.59,2014-05-14,2012,Kepler,3
3519,Kepler-83,c,Kepler-83 c,405.01,4648.00,,0.59,2014-05-14,2012,Kepler,3
3520,Kepler-83,d,Kepler-83 d,405.01,4648.00,,0.59,2014-05-14,2014,Kepler,3
3521,Kepler-830,b,Kepler-830 b,1874.66,6037.00,1.07,1.11,2016-05-10,2016,Kepler,3
3522,Kepler-831,b,Kepler-831 b,603.85,5732.00,0.99,0.97,2016-05-10,2016,Kepler,3
3523,Kepler-832,b,Kepler-832 b,1770.41,5596.00,0.92,0.90,2016-05-10,2016,Kepler,3
3524,Kepler-833,b,Kepler-833 b,473.68,4339.00,0.64,0.62,2016-05-10,2016,Kepler,3
3525,Kepler-834,b,Kepler-834 b,645.25,4554.00,0.70,0.66,2016-05-10,2016,Kepler,3
3526,Kepler-835,b,Kepler-835 b,2611.24,5954.00,1.08,1.11,2016-05-10,2016,Kepler,3
3527,Kepler-836,b,Kepler-836 b,1008.31,5895.00,1.03,1.04,2016-05-10,2016,Kepler,3
3528,Kepler-837,b,Kepler-837 b,925.79,5403.00,0.85,0.81,2016-05-10,2016,Kepler,3
3529,Kepler-838,b,Kepler-838 b,1140.09,5770.00,0.98,0.96,2016-05-10,2016,Kepler,3
3530,Kepler-839,b,Kepler-839 b,970.95,6058.00,1.22,1.31,2016-05-10,2016,Kepler,3
3531,Kepler-84,b,Kepler-84 b,1443.27,6031.00,,1.17,2014-05-14,2012,Kepler,3
3532,Kepler-84,c,Kepler-84 c,1443.27,6031.00,,1.17,2014-05-14,2012,Kepler,3
3533,Kepler-84,d,Kepler-84 d,1443.27,6031.00,,1.17,2014-05-14,2014,Kepler,3
3534,Kepler-84,e,Kepler-84 e,1443.27,6031.00,,1.17,2014-05-14,2014,Kepler,3
3535,Kepler-84,f,Kepler-84 f,1443.27,6031.00,,1.17,2014-05-14,2014,Kepler,3
3536,Kepler-840,b,Kepler-840 b,1154.85,5920.00,1.04,1.06,2016-05-10,2016,Kepler,3
